nohup: ignoring input
WARNING:root:No sentence-transformers model found with name /data/transformers/bert-base-uncased. Creating a new one with MEAN pooling.
Some weights of the model checkpoint at /data/transformers/bert-base-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Add 2 special tokens
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.

Trian : | Epoch [  1/ 10] Iter[  1/3645]	 CE-loss: 0.7501
Trian : | Epoch [  1/ 10] Iter[  2/3645]	 CE-loss: 0.7047
Trian : | Epoch [  1/ 10] Iter[  3/3645]	 CE-loss: 0.6611
Trian : | Epoch [  1/ 10] Iter[  4/3645]	 CE-loss: 0.6330
Trian : | Epoch [  1/ 10] Iter[  5/3645]	 CE-loss: 0.6092
Trian : | Epoch [  1/ 10] Iter[  6/3645]	 CE-loss: 0.5834
Trian : | Epoch [  1/ 10] Iter[  7/3645]	 CE-loss: 0.5553
Trian : | Epoch [  1/ 10] Iter[  8/3645]	 CE-loss: 0.5286
Trian : | Epoch [  1/ 10] Iter[  9/3645]	 CE-loss: 0.5223
Trian : | Epoch [  1/ 10] Iter[ 10/3645]	 CE-loss: 0.5276
Trian : | Epoch [  1/ 10] Iter[ 11/3645]	 CE-loss: 0.5062
Trian : | Epoch [  1/ 10] Iter[ 12/3645]	 CE-loss: 0.5135
Trian : | Epoch [  1/ 10] Iter[ 13/3645]	 CE-loss: 0.5080
Trian : | Epoch [  1/ 10] Iter[ 14/3645]	 CE-loss: 0.4993
Trian : | Epoch [  1/ 10] Iter[ 15/3645]	 CE-loss: 0.4825
Trian : | Epoch [  1/ 10] Iter[ 16/3645]	 CE-loss: 0.4833
Trian : | Epoch [  1/ 10] Iter[ 17/3645]	 CE-loss: 0.4806
Trian : | Epoch [  1/ 10] Iter[ 18/3645]	 CE-loss: 0.4670
Trian : | Epoch [  1/ 10] Iter[ 19/3645]	 CE-loss: 0.4624
Trian : | Epoch [  1/ 10] Iter[ 20/3645]	 CE-loss: 0.4530
Trian : | Epoch [  1/ 10] Iter[ 21/3645]	 CE-loss: 0.4531
Trian : | Epoch [  1/ 10] Iter[ 22/3645]	 CE-loss: 0.4443
Trian : | Epoch [  1/ 10] Iter[ 23/3645]	 CE-loss: 0.4489
Trian : | Epoch [  1/ 10] Iter[ 24/3645]	 CE-loss: 0.4459
Trian : | Epoch [  1/ 10] Iter[ 25/3645]	 CE-loss: 0.4351
Trian : | Epoch [  1/ 10] Iter[ 26/3645]	 CE-loss: 0.4327
Trian : | Epoch [  1/ 10] Iter[ 27/3645]	 CE-loss: 0.4236
Trian : | Epoch [  1/ 10] Iter[ 28/3645]	 CE-loss: 0.4203
Trian : | Epoch [  1/ 10] Iter[ 29/3645]	 CE-loss: 0.4171
Trian : | Epoch [  1/ 10] Iter[ 30/3645]	 CE-loss: 0.4188
Trian : | Epoch [  1/ 10] Iter[ 31/3645]	 CE-loss: 0.4124
Trian : | Epoch [  1/ 10] Iter[ 32/3645]	 CE-loss: 0.4094
Trian : | Epoch [  1/ 10] Iter[ 33/3645]	 CE-loss: 0.4066
Trian : | Epoch [  1/ 10] Iter[ 34/3645]	 CE-loss: 0.4038
Trian : | Epoch [  1/ 10] Iter[ 35/3645]	 CE-loss: 0.4035
Trian : | Epoch [  1/ 10] Iter[ 36/3645]	 CE-loss: 0.4052
Trian : | Epoch [  1/ 10] Iter[ 37/3645]	 CE-loss: 0.3972
Trian : | Epoch [  1/ 10] Iter[ 38/3645]	 CE-loss: 0.3965
Trian : | Epoch [  1/ 10] Iter[ 39/3645]	 CE-loss: 0.3968
Trian : | Epoch [  1/ 10] Iter[ 40/3645]	 CE-loss: 0.3960
Trian : | Epoch [  1/ 10] Iter[ 41/3645]	 CE-loss: 0.3932
Trian : | Epoch [  1/ 10] Iter[ 42/3645]	 CE-loss: 0.3908
Trian : | Epoch [  1/ 10] Iter[ 43/3645]	 CE-loss: 0.3900
Trian : | Epoch [  1/ 10] Iter[ 44/3645]	 CE-loss: 0.3896
Trian : | Epoch [  1/ 10] Iter[ 45/3645]	 CE-loss: 0.3921
Trian : | Epoch [  1/ 10] Iter[ 46/3645]	 CE-loss: 0.3899
Trian : | Epoch [  1/ 10] Iter[ 47/3645]	 CE-loss: 0.3877
Trian : | Epoch [  1/ 10] Iter[ 48/3645]	 CE-loss: 0.3871
Trian : | Epoch [  1/ 10] Iter[ 49/3645]	 CE-loss: 0.3864
Trian : | Epoch [  1/ 10] Iter[ 50/3645]	 CE-loss: 0.3838
Trian : | Epoch [  1/ 10] Iter[ 51/3645]	 CE-loss: 0.3836
Trian : | Epoch [  1/ 10] Iter[ 52/3645]	 CE-loss: 0.3865
Trian : | Epoch [  1/ 10] Iter[ 53/3645]	 CE-loss: 0.3883
Trian : | Epoch [  1/ 10] Iter[ 54/3645]	 CE-loss: 0.3862
Trian : | Epoch [  1/ 10] Iter[ 55/3645]	 CE-loss: 0.3849
Trian : | Epoch [  1/ 10] Iter[ 56/3645]	 CE-loss: 0.3839
Trian : | Epoch [  1/ 10] Iter[ 57/3645]	 CE-loss: 0.3796
Trian : | Epoch [  1/ 10] Iter[ 58/3645]	 CE-loss: 0.3788
Trian : | Epoch [  1/ 10] Iter[ 59/3645]	 CE-loss: 0.3790
Trian : | Epoch [  1/ 10] Iter[ 60/3645]	 CE-loss: 0.3828
Trian : | Epoch [  1/ 10] Iter[ 61/3645]	 CE-loss: 0.3807
Trian : | Epoch [  1/ 10] Iter[ 62/3645]	 CE-loss: 0.3827
Trian : | Epoch [  1/ 10] Iter[ 63/3645]	 CE-loss: 0.3813
Trian : | Epoch [  1/ 10] Iter[ 64/3645]	 CE-loss: 0.3808
Trian : | Epoch [  1/ 10] Iter[ 65/3645]	 CE-loss: 0.3801
Trian : | Epoch [  1/ 10] Iter[ 66/3645]	 CE-loss: 0.3809
Trian : | Epoch [  1/ 10] Iter[ 67/3645]	 CE-loss: 0.3833
Trian : | Epoch [  1/ 10] Iter[ 68/3645]	 CE-loss: 0.3837
Trian : | Epoch [  1/ 10] Iter[ 69/3645]	 CE-loss: 0.3817
Trian : | Epoch [  1/ 10] Iter[ 70/3645]	 CE-loss: 0.3806
Trian : | Epoch [  1/ 10] Iter[ 71/3645]	 CE-loss: 0.3823
Trian : | Epoch [  1/ 10] Iter[ 72/3645]	 CE-loss: 0.3812
Trian : | Epoch [  1/ 10] Iter[ 73/3645]	 CE-loss: 0.3814
Trian : | Epoch [  1/ 10] Iter[ 74/3645]	 CE-loss: 0.3809
Trian : | Epoch [  1/ 10] Iter[ 75/3645]	 CE-loss: 0.3813
Trian : | Epoch [  1/ 10] Iter[ 76/3645]	 CE-loss: 0.3790
